rank,region,founder,university,admission_type,college,department,quota,applicants,rate
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,건설환경공학과,1,1,1.0
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,전자·기계융합공학과,13,13,1.0
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,미래모빌리티학과,7,7,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),사회과학대학,경제학과,2,2,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),자연과학대학,미생물학과,2,2,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),농업생명환경대학,식물자원학과,2,2,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),농업생명환경대학,식물의학과,2,2,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),인문대학,러시아언어문화학과,1,1,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),농업생명환경대학,특용식물학과,1,1,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),사범대학,화학교육과,1,1,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),사범대학,지구과학교육과,1,1,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),생활과학대학,소비자학과,1,1,1.0
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),간호대학,간호학과,1,1,1.0
48,서울,사립,서울여자대학교,학생부종합(기회균형전형_농어촌학생)[정원외],인문대학,AI융합콘텐츠전공,2,2,1.0
48,서울,사립,서울여자대학교,학생부종합(기회균형전형_농어촌학생)[정원외],인문대학,독일문화콘텐츠전공,2,2,1.0
48,서울,사립,서울여자대학교,학생부종합(기회균형전형_농어촌학생)[정원외],과학기술융합대학,식품영양학과,2,2,1.0
49,서울,사립,삼육대학교,농어촌전형,,글로벌한국학과,2,2,1.0
49,서울,사립,삼육대학교,농어촌전형,,환경디자인원예학과,2,2,1.0
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,전자및정보공학과,21,22,1.05
42,세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,자유전공학부(글로벌비즈니스),15,16,1.07
42,세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,융합경영학부,24,26,1.08
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,화학공학과,10,11,1.1
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,화학공학과,10,11,1.1
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,생명정보공학과,10,11,1.1
15,서울,공립,서울시립대학교,논술전형,인공지능융합대학,컴퓨터과학부,8,9,1.13
17,서울,사립,건국대학교(서울),논술(KU논술우수자),사회과학대학,사회과학대학융합전공학부,8,9,1.13
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,사회과학대학,홍보광고학과,7,8,1.14
16,서울,사립,이화여자대학교,논술(논술전형),신산업융합대학,융합콘텐츠학과,6,7,1.17
